name,huc12,states,PIMPV_2021,PIMPV_2020,areaacres,areasqkm
Upper Shelby Creek,50702020603,KY,1.422593001,1.422593001,21239.78,85.95
Robinson Creek,50702020604,KY,0.669132314,0.669132314,10705.88,43.33
Lower Shelby Creek,50702020605,KY,2.616830313,2.616830313,20601.57,83.37
Upper Elkhorn Creek,50702020701,"KY,VA",3.189787854,3.189787854,15007.31,60.73
Lower Elkhorn Creek,50702020702,"KY,VA",1.400621371,1.400621371,19131.56,77.42
Beaver Creek-Russell Fork,50702020703,"KY,VA",1.133223184,1.133223184,25747.24,104.2
Marrowbone Creek-Russell Fork,50702020704,KY,1.230073425,1.230073425,37847.81,153.16
Greasy Creek-Levisa Fork,50702020705,KY,2.197307699,2.197307699,13414.84,54.29
Upper Right Fork Beaver Creek,50702030101,KY,0.845976899,0.845976899,27181.31,110
Middle Right Fork Beaver Creek,50702030102,KY,0.828739396,0.828739396,36856.68,149.15
Lower Right Fork Beaver Creek,50702030103,KY,1.911968235,1.911968235,35067.93,141.92
Upper Left Fork Beaver Creek,50702030104,KY,0.986784242,0.986784242,19470.3,78.79
Lower Left Fork Beaver Creek-Beaver Creek,50702030105,KY,1.647051743,1.647051743,35112.36,142.09
Mud Creek,50702030201,KY,1.050002656,1.050002656,33492.87,135.54
Island Creek-Levisa Fork,50702030202,KY,5.466781392,5.466781392,39601.76,160.26
Prater Creek-Levisa Fork,50702030203,KY,3.234501163,3.234501163,22881.77,92.6
Upper Middle Creek Levisa Fork,50702030204,KY,0.873337073,0.873337073,16652.3,67.39
Lower Middle Creek Levisa Fork,50702030205,KY,1.510437583,1.510437583,24590.17,99.51
Abbott Creek-Levisa Fork,50702030206,KY,2.940718393,2.940718393,33771.44,136.67
Headwaters Johns Creek,50702030301,KY,0.846345655,0.846345655,31642.87,128.05
Raccoon Creek-Johns Creek,50702030302,KY,1.491812197,1.491812197,31928.5,129.21
Brushy Fork,50702030303,KY,0.499665189,0.499665189,24578.4,99.47
Buffalo Creek-Johns Creek,50702030304,KY,0.696276374,0.696276374,29891.82,120.97
Daniels Creek-Johns Creek,50702030305,KY,1.98195308,1.98195308,25520.61,103.28
Little Paint Creek,50702030401,KY,0.443342374,0.443342374,28303.66,114.54
Open Fork Paint Creek,50702030402,KY,0.393948045,0.393948045,21174.43,85.69
Barnetts Creek-Paint Creek,50702030403,KY,0.862980498,0.862980498,16532.77,66.91
Jennys Creek,50702030404,KY,1.132758323,1.132758323,23155.24,93.71
Mudlick Creek-Paint Creek,50702030405,KY,4.29095729,4.29095729,18882.62,76.42
Miller Creek-Levisa Fork,50702030501,KY,3.976700818,3.976700818,19885.45,80.47
Toms Creek-Levisa Fork,50702030502,KY,1.623440125,1.623440125,35488.8,143.62
Nats Creek-Levisa Fork,50702030503,KY,0.813041545,0.813041545,26738.36,108.21
Georges Creek-Levisa Fork,50702030504,KY,1.35848385,1.35848385,26992.07,109.23
Griffin Creek-Levisa Fork,50702030505,KY,2.235890205,2.235890205,27274.87,110.38
Headwaters Blaine Creek,50702040101,KY,0.384947769,0.384947769,19983.78,80.87
Lower Laurel Creek,50702040102,KY,0.578286647,0.578286647,11188.33,45.28
Upper Laurel Creek-Blaine Creek,50702040103,KY,0.465283767,0.465283767,10311.98,41.73
Hood Creek,50702040104,KY,0.929602032,0.929602032,14537.77,58.83
Cains Creek-Blaine Creek,50702040105,KY,0.353189503,0.353189503,10490.01,42.45
Cherokee Creek-Blaine Creek,50702040201,KY,0.306968866,0.306968866,9988.83,40.42
Irish Creek-Blaine Creek,50702040202,KY,0.448324189,0.448324189,7560.52,30.6
Brushy Creek,50702040203,KY,0.455354088,0.455354088,11736.78,47.5
Rich Creek-Blaine Creek,50702040204,KY,0.453766098,0.453766098,12294.63,49.75
Little Blaine Creek,50702040301,KY,0.642036009,0.642036009,16015.66,64.81
Greenbrier Creek-Blaine Creek,50702040302,KY,0.778627616,0.778627616,7851.44,31.77
Morgans Creek-Blaine Creek,50702040303,KY,1.125919038,1.125919038,10517.91,42.56
Cat Fork,50702040304,KY,0.370674701,0.370674701,12176.27,49.28
Little Cat Fork-Blaine Creek,50702040305,KY,0.64942156,0.64942156,14781.62,59.82
Tabor Creek-Big Sandy River,50702040401,"KY,WV",4.426933433,4.426933433,12722.41,51.49
Hurricane Creek-Big Sandy River,50702040402,"KY,WV",2.336944662,2.336944662,17528.87,70.94
Bear Creek-Big Sandy River,50702040403,"KY,WV",1.461463102,1.461463102,25157.05,101.81
Whites Creek,50702040404,WV,0.779032258,0.779032258,10065.73,40.73
Durbin Creek-Big Sandy River,50702040405,"KY,WV",3.756635562,3.756635562,10822.94,43.8
Chadwick Creek-Big Sandy River,50702040406,"KY,WV",9.352372795,9.352372795,16937.31,68.54
Buffalo Creek-Ohio River,50901011007,"KY,OH,WV",14.70718629,14.70718629,12444.48,50.36
Solida Creek-Ohio River,50901030101,"KY,OH,WV",13.27955213,13.27955213,21919.18,88.7
Hood Creek,50901030102,KY,13.6339782,13.6339782,9163.49,37.08
Pond Run-Ohio River,50901030105,"KY,OH",15.89457459,15.89457459,28164.99,113.98
Grays Branch-Ohio River,50901030107,"KY,OH",3.160043146,3.160043146,21687.25,87.77
Jacobs Fork,50901030301,KY,0.796933616,0.796933616,17725.53,71.73
Trough Camp Creek-Tygarts Creek,50901030302,KY,2.710262857,2.710262857,29572.44,119.68
Upper Buffalo Creek,50901030303,KY,0.534649678,0.534649678,15114.79,61.17
Lower Buffalo Creek,50901030304,KY,1.048554724,1.048554724,20351.76,82.36
Smoky Creek-Tygarts Creek,50901030305,KY,1.007342887,1.007342887,35657.67,144.3
Leatherwood Branch-Tygarts Creek,50901030401,KY,0.513350649,0.513350649,17124.21,69.3
Little Oak Creek-Tygarts Creek,50901030402,KY,0.533290499,0.533290499,19388.2,78.46
White Oak Creek-Tygarts Creek,50901030403,KY,0.567110513,0.567110513,27104.11,109.69
Schultz Creek,50901030404,KY,0.531097861,0.531097861,16267.97,65.83
Lower White Oak Creek-Tygarts Creek,50901030405,KY,2.613401579,2.613401579,19016.87,76.96
Munn Run-Ohio River,50901030606,"KY,OH",10.17664864,10.17664864,22307.16,90.27
Headwaters Little Sandy River,50901040101,KY,0.828480289,0.828480289,15758.43,63.77
Laurel Creek,50901040102,KY,0.651155304,0.651155304,15202.97,61.52
Middle Fork Little Sandy River,50901040103,KY,0.313239668,0.313239668,14056.85,56.89
Newcombe Creek,50901040104,KY,0.337948235,0.337948235,17491.41,70.79
South Ruin Creek-Little Sandy River,50901040105,KY,1.493374945,1.493374945,12264.29,49.63
Headwaters Little Fork Little Sandy River,50901040201,KY,0.297402061,0.297402061,15605.1,63.15
Blaine Trace-Little Fork Little Sandy River,50901040202,KY,0.332595012,0.332595012,17768.75,71.91
Dry Fork,50901040203,KY,0.537998615,0.537998615,23764.85,96.17
Davy Run-Little Fork Little Sandy River,50901040204,KY,0.805550636,0.805550636,12559.74,50.83
Straight Creek-Little Fork Little Sandy River,50901040205,KY,0.813282172,0.813282172,15070.67,60.99
Caney Creek,50901040301,KY,0.586658229,0.586658229,21142.96,85.56
Big Sinking Creek,50901040302,KY,0.530974178,0.530974178,21671.92,87.7
Bruin Creek-Little Sandy River,50901040303,KY,0.790582598,0.790582598,29520.75,119.47
Little Sinking Creek-Little Sandy River,50901040304,KY,1.009654635,1.009654635,20002.78,80.95
Lower Stinson Creek-Little Sandy River,50901040305,KY,4.640631222,4.640631222,15097.25,61.1
Headwaters East Fork Little Sandy River,50901040401,KY,0.565000053,0.565000053,20870.9,84.46
Garner Creek-East Fork Little Sandy River,50901040402,KY,0.777078989,0.777078989,19863.01,80.38
Williams Creek,50901040403,KY,2.551056618,2.551056618,19566.89,79.18
Shope Creek-East Fork Little Sandy River,50901040404,KY,8.975932625,8.975932625,19332.98,78.24
Indian Run-East Fork Little Sandy River,50901040405,KY,1.456649847,1.456649847,18931.34,76.61
Everman Creek-Little Sandy River,50901040501,KY,3.336345728,3.336345728,19985.22,80.88
Wilson Creek-Little Sandy River,50901040502,KY,0.878515955,0.878515955,20828.99,84.29
Oldtown Creek-Little Sandy River,50901040503,KY,0.376396546,0.376396546,16830.64,68.11
Cane Creek-Little Sandy River,50901040504,KY,1.164170951,1.164170951,20950.86,84.79
Allcorn Creek-Little Sandy River,50901040505,KY,1.12584241,1.12584241,19377.41,78.42
Grassy Fork,50902010101,KY,0.384026663,0.384026663,16214.8,65.62
Laurel Fork,50902010102,KY,0.261249118,0.261249118,24586.74,99.5
Headwaters Kinniconick Creek,50902010103,KY,0.328275594,0.328275594,37732.69,152.7
Straight Fork-Kinniconick Creek,50902010104,KY,0.265987149,0.265987149,31705.81,128.31
Rock Run-Kinniconick Creek,50902010105,KY,0.899741978,0.899741978,18042.21,73.01
Montgomery Creek-Kinniconick Creek,50902010106,KY,0.833868793,0.833868793,33690.64,136.34
Briery Branch-Ohio River,50902010204,"KY,OH",1.189238172,1.189238172,23001.11,93.08
Rock Run-Ohio River,50902010207,"KY,OH",2.334240401,2.334240401,12261.98,49.62
Salt Lick Creek,50902010208,KY,1.250375832,1.250375832,35661.19,144.32
Quicks Run-Ohio River,50902010210,"KY,OH",0.614614367,0.614614367,29754.61,120.41
Crooked Creek-Ohio River,50902010601,"KY,OH",0.995856849,0.995856849,37464.51,151.61
Upper Cabin Creek,50902010602,KY,0.786106165,0.786106165,21493.61,86.98
Lower Cabin Creek,50902010603,KY,0.48182023,0.48182023,19901.53,80.54
Lawrence Creek-Ohio River,50902010605,"KY,OH",5.261262133,5.261262133,37278.78,150.86
Lee Creek-Ohio River,50902010804,"KY,OH",0.979010379,0.979010379,21916.14,88.69
Bracken Creek,50902011101,KY,0.747445382,0.747445382,23075.09,93.38
Turtle Creek-Ohio River,50902011102,"KY,OH",1.277543399,1.277543399,14836.22,60.04
Locust Creek,50902011105,KY,0.766753656,0.766753656,31458.36,127.31
Bear Creek-Ohio River,50902011106,"KY,OH",0.966691684,0.966691684,35665.58,144.33
Little Indian Creek-Ohio River,50902011107,"KY,OH",2.412480097,2.412480097,15646.83,63.32
Boat Run-Ohio River,50902011203,"KY,OH",2.001262626,2.001262626,10151.55,41.08
Twelvemile Creek,50902011205,KY,1.664363859,1.664363859,29503.42,119.4
Fourmile Creek,50902011207,KY,6.544472794,6.544472794,11275.11,45.63
Ninemile Creek-Ohio River,50902011208,"KY,OH",8.937582704,8.937582704,26634,107.78
Clough Creek-Little Miami River,50902021406,OH,14.3929701,14.3929701,11971.7,48.45
Town of Newport-Ohio River,50902030201,"KY,OH",32.89609878,32.89609878,10766.01,43.57
Dry Creek-Ohio River,50902030202,"KY,OH",25.98172681,25.98172681,34846.81,141.02
Garrison Creek-Ohio River,50902030204,"IN,KY,OH",7.683657463,7.683657463,16358.88,66.2
Salt Fork-Tanners Creek,50902030304,IN,3.508963451,3.508963451,18728.55,75.79
Woolper Creek,50902030801,KY,4.76492683,4.76492683,21184.36,85.73
Taylor Creek-Ohio River,50902030802,"IN,KY",6.369838294,6.369838294,17538.08,70.97
Arnold Creek,50902030803,IN,0.848935628,0.848935628,18454.22,74.68
Middle Creek-Ohio River,50902030804,"IN,KY",1.310454843,1.310454843,18365.68,74.32
Upper Gunpowder Creek,50902030806,KY,21.93858961,21.93858961,23313.73,94.35
Lower Gunpowder Creek,50902030807,KY,1.059470137,1.059470137,14079.07,56.98
Lick Creek-Ohio River,50902030808,"IN,KY",1.050116611,1.050116611,14376.64,58.18
Long Run-Indian Creek,50902030902,IN,0.623699895,0.623699895,24806.28,100.39
Mud Lick Creek,50902031001,KY,4.371013939,4.371013939,25738.95,104.16
Big South Fork,50902031002,KY,0.981602319,0.981602319,14391.43,58.24
Big Bone Creek,50902031003,KY,0.609058718,0.609058718,12758.08,51.63
Big Sugar Creek-Ohio River,50902031004,"IN,KY",0.836678338,0.836678338,22977.74,92.99
Craigs Creek-Ohio River,50902031006,"IN,KY",2.706611744,2.706611744,23673.06,95.8
Log Lick Creek,50902031007,"IN,KY",0.587644822,0.587644822,15141.54,61.28
Plum Creek,50902031008,"IN,KY",0.407567202,0.407567202,11218.01,45.4
Hunt Creek-Ohio River,50902031009,"IN,KY",3.324623096,3.324623096,12296.66,49.76
McCools Creek-Ohio River,50902031010,"IN,KY",4.23261854,4.23261854,22282.35,90.17
Headwaters Licking River,51001010101,KY,0.468660655,0.468660655,24273.81,98.23
Puncheon Camp Creek-Licking River,51001010102,KY,0.529557095,0.529557095,23406.84,94.72
Oakley Creek-Licking River,51001010103,KY,0.709090245,0.709090245,18268.51,73.93
Middle Fork Licking River,51001010104,KY,0.522587516,0.522587516,30492.9,123.4
Johnson Creek,51001010105,KY,0.723679638,0.723679638,21122.98,85.48
Burning Fork-Licking River,51001010106,KY,1.241307086,1.241307086,31969.43,129.38
Williams Creek,51001010201,KY,0.511320369,0.511320369,11976.79,48.47
Upper Elk Fork,51001010202,KY,0.440881663,0.440881663,13270.84,53.71
Middle Elk Fork,51001010203,KY,0.28204732,0.28204732,11517.35,46.61
Lower Elk Fork,51001010204,KY,0.463165416,0.463165416,12447.72,50.37
Devils Fork,51001010301,KY,0.615622165,0.615622165,11522.53,46.63
Craney Creek,51001010302,KY,0.393816168,0.393816168,19036.22,77.04
Upper North Fork Licking River,51001010303,KY,0.504007245,0.504007245,19648.4,79.51
Lower North Fork Licking River,51001010304,KY,1.0007743,1.0007743,14022.92,56.75
Clifton Creek-Beaver Creek,51001010401,KY,1.260003425,1.260003425,11687.44,47.3
Meyers Fork-Beaver Creek,51001010402,KY,0.565380375,0.565380375,12114.73,49.03
Brushy Fork-Beaver Creek,51001010403,KY,0.968883033,0.968883033,11070.08,44.8
Leatherwood Creek-Beaver Creek,51001010404,KY,0.298304576,0.298304576,8042.2,32.55
Lick Creek,51001010501,KY,0.454280646,0.454280646,13665.41,55.3
Rockhouse Creek-Licking River,51001010502,KY,0.408877217,0.408877217,25830.18,104.53
White Oak Creek,51001010503,KY,0.560903101,0.560903101,13843.75,56.02
Caney Creek,51001010504,KY,0.977206423,0.977206423,26910.39,108.9
Grassy Creek,51001010505,KY,0.758950835,0.758950835,33359.08,135
Pleasant Run-Licking River,51001010506,KY,1.453562996,1.453562996,29462.55,119.23
Blackwater Creek,51001010507,KY,0.896439081,0.896439081,33676.2,136.28
Laurel Branch-Licking River,51001010508,KY,0.715253718,0.715253718,17330.9,70.14
Scott Creek-Licking River,51001010509,KY,0.521138921,0.521138921,27578.39,111.61
Upper North Fork Triplett Creek,51001010601,KY,0.464932276,0.464932276,28611.17,115.79
Middle North Fork Triplett Creek,51001010602,KY,1.484349758,1.484349758,24255.65,98.16
Lower North Fork Triplett Creek,51001010603,KY,4.968982917,4.968982917,13504.84,54.65
Upper Triplett Creek,51001010604,KY,1.117242008,1.117242008,29330,118.69
Lower Triplett Creek,51001010605,KY,4.084009838,4.084009838,24017.61,97.2
Headwaters Slate Creek,51001010701,KY,0.774321965,0.774321965,19112.05,77.34
Spruce Creek-Slate Creek,51001010702,KY,1.640931844,1.640931844,31255.57,126.49
Spencer Creek-Slate Creek,51001010703,KY,1.196205059,1.196205059,32482.38,131.45
Mill Creek-Slate Creek,51001010704,KY,0.920032746,0.920032746,32619.89,132.01
White Oak Creek-Slate Creek,51001010705,KY,0.98914347,0.98914347,31559.55,127.72
Salt Lick Creek,51001010801,KY,0.67586002,0.67586002,36007.61,145.72
Indian Creek-Licking River,51001010802,KY,1.929932597,1.929932597,33134.03,134.09
Upper Fox Creek,51001010803,KY,0.547697927,0.547697927,24376.84,98.65
Middle Fox Creek,51001010804,KY,0.852938508,0.852938508,24596.99,99.54
Lower Fox Creek,51001010805,KY,0.873887622,0.873887622,25962.45,105.07
Flat Creek,51001010806,KY,0.379678363,0.379678363,31970.22,129.38
Locust Creek-Licking River,51001010807,KY,0.426261393,0.426261393,37353.34,151.16
Headwaters Fleming Creek,51001010901,KY,0.564296618,0.564296618,10362.74,41.94
Wilson Run-Fleming Creek,51001010902,KY,0.75264688,0.75264688,10286.51,41.63
Allison Creek-Fleming Creek,51001010903,KY,3.581913855,3.581913855,12369.48,50.06
Cassiday Creek-Fleming Creek,51001010904,KY,0.689993673,0.689993673,11606.61,46.97
Poplar Creek-Fleming Creek,51001010905,KY,0.378239352,0.378239352,17134.65,69.34
Headwaters North Fork Licking River,51001011001,KY,0.576982456,0.576982456,26949.77,109.06
Indian Run-North Fork Licking River,51001011002,KY,0.749339947,0.749339947,26399.41,106.83
Mill Creek-North Fork Licking River,51001011003,KY,0.79635417,0.79635417,30723.22,124.33
Clarks Run-North Fork Licking River,51001011004,KY,0.391114033,0.391114033,25729.38,104.12
Shannon Creek-North Fork Licking River,51001011005,KY,0.336473505,0.336473505,35901.02,145.29
Willow Branch-North Fork Licking River,51001011006,KY,0.47393672,0.47393672,23724.55,96.01
Willow Creek-North Fork Licking River,51001011007,KY,0.37207814,0.37207814,27806.81,112.53
Little Flat Creek-Licking River,51001011101,KY,0.522326644,0.522326644,30078.47,121.72
Cassidy Creek-Licking River,51001011102,KY,0.308770423,0.308770423,29090.44,117.72
Upper Johnson Creek,51001011103,KY,0.374437704,0.374437704,26972.52,109.15
Lower Johnson Creek,51001011104,KY,0.349969712,0.349969712,21656.09,87.64
Stony Creek-Licking River,51001011105,KY,0.614117226,0.614117226,26248.08,106.22
Cedar Creek-Licking River,51001011106,KY,0.310012521,0.310012521,24185.7,97.88
Little Beaver Creek-Beaver Creek,51001011107,KY,0.344609216,0.344609216,27966.68,113.18
West Creek-Licking River,51001011108,KY,0.300149574,0.300149574,19930.64,80.66
Richland Creek-Licking River,51001011201,KY,0.470600825,0.470600825,20059.18,81.18
Kincaid Creek,51001011202,KY,0.383020225,0.383020225,29242.32,118.34
Blanket Creek-Licking River,51001011203,KY,0.748001803,0.748001803,25959.68,105.06
South Fork Grassy Creek,51001011204,KY,0.826707733,0.826707733,32219.58,130.39
Middle Fork Grassy Creek,51001011205,KY,0.647611621,0.647611621,27678.19,112.01
North Fork Grassy Creek-Grassy Creek,51001011206,KY,0.720692718,0.720692718,17020.62,68.88
Flour Creek-Licking River,51001011207,KY,0.751284972,0.751284972,33328.43,134.88
Cruises Creek,51001011301,KY,0.941303296,0.941303296,21203.61,85.81
Phillips Creek-Licking River,51001011302,KY,1.026827937,1.026827937,27362.19,110.73
Pond Creek-Licking River,51001011303,KY,4.061769895,4.061769895,14763.75,59.75
Upper Banklick Creek,51001011304,KY,8.092001533,8.092001533,19217.89,77.77
Lower Banklick Creek,51001011305,KY,18.4609079,18.4609079,18030.43,72.97
DeCoursey Creek-Licking River,51001011306,KY,15.11305914,15.11305914,19334.71,78.24
Hancock Creek-Strodes Creek,51001020101,KY,11.09225822,11.09225822,19881.63,80.46
Johnson Creek-Strodes Creek,51001020102,KY,0.165215407,0.165215407,12732.03,51.52
Green Creek,51001020103,KY,0.323598277,0.323598277,10676.84,43.21
Pretty Run-Strodes Creek,51001020104,KY,0.23869651,0.23869651,9945.18,40.25
Headwaters Stoner Creek,51001020201,KY,0.928147195,0.928147195,19903.85,80.55
Donaldson Creek-Stoner Creek,51001020202,KY,0.389774711,0.389774711,18997.11,76.88
Harrods Creek-Stoner Creek,51001020203,KY,0.466228409,0.466228409,20775.24,84.07
Houston Creek,51001020204,KY,2.142650337,2.142650337,29115.16,117.82
Kennedy Creek-Stoner Creek,51001020205,KY,3.073190538,3.073190538,16770.48,67.87
Flat Run-Stoner Creek,51001020206,KY,0.332428044,0.332428044,22665.5,91.72
Grassy Lick Creek,51001020301,KY,0.998668453,0.998668453,26417.97,106.91
Headwaters Hinkston Creek,51001020302,KY,5.948619283,5.948619283,23967.31,96.99
Somerset Creek,51001020303,KY,0.346211538,0.346211538,17067.18,69.07
Boone Creek-Hinkston Creek,51001020304,KY,0.235410622,0.235410622,27316.81,110.55
Blacks Creek-Hinkston Creek,51001020305,KY,0.240020343,0.240020343,25828.56,104.52
Big Brushy Creek,51001020306,KY,1.336103107,1.336103107,18744.27,75.86
Hooktown Branch-Hinkston Creek,51001020307,KY,0.53353401,0.53353401,27147.11,109.86
Silas Creek,51001020401,KY,0.444051016,0.444051016,25648.16,103.79
Grays Run-South Fork Licking River,51001020402,KY,2.101486008,2.101486008,23927.37,96.83
Indian Creek-South Fork Licking River,51001020403,KY,1.697149707,1.697149707,25459.24,103.03
Mill Creek,51001020404,KY,0.461364808,0.461364808,21606.17,87.44
Twin Creek,51001020405,KY,0.524896676,0.524896676,16861.26,68.24
Raven Creek,51001020406,KY,0.383892451,0.383892451,30517.07,123.5
Curry Creek-South Fork Licking River,51001020407,KY,0.550927744,0.550927744,13133.42,53.15
Crooked Creek,51001020501,KY,0.422199689,0.422199689,16023.17,64.84
Snake Lick Creek-South Fork Licking River,51001020502,KY,0.497149603,0.497149603,15668.37,63.41
Coopertown Creek,51001020503,KY,0.96236309,0.96236309,10521.25,42.58
Fork Lick Creek,51001020504,KY,0.449963111,0.449963111,22618.51,91.53
Short Creek-South Fork Licking River,51001020505,KY,0.790194995,0.790194995,23483.36,95.03
Headwaters North Fork Kentucky River,51002010101,"KY,VA",1.616354872,1.616354872,19403.54,78.52
Millstone Creek-North Fork Kentucky River,51002010102,KY,0.935939686,0.935939686,9380.73,37.96
Crafts Colly Creek-North Fork Kentucky River,51002010103,"KY,VA",2.802952242,2.802952242,18562.67,75.12
Cowan Creek-North Fork Kentucky River,51002010104,KY,0.848151614,0.848151614,18057.53,73.08
Kings Creek-North Fork Kentucky River,51002010105,KY,0.851832799,0.851832799,18612.61,75.32
Upper Rockhouse Creek,51002010106,KY,1.300662699,1.300662699,21802.95,88.23
Lower Rockhouse Creek,51002010107,KY,1.963418684,1.963418684,14064.02,56.92
Headwaters Carr Fork,51002010201,KY,0.680023868,0.680023868,11924.36,48.26
Little Carr Fork-Carr Fork,51002010202,KY,1.134205293,1.134205293,13108.67,53.05
Irishman Creek-Carr Fork,51002010203,KY,0.735539109,0.735539109,15716.72,63.6
Montgomery Creek-Carr Fork,51002010204,KY,1.626690539,1.626690539,13938.46,56.41
Upper Line Fork,51002010301,KY,0.431388042,0.431388042,30117.01,121.88
Lower Line Fork-North Fork Kentucky River,51002010302,KY,0.623072217,0.623072217,24361.71,98.59
Leatherwood Creek,51002010303,KY,0.77547328,0.77547328,31853.88,128.91
Maces Creek-North Fork Kentucky River,51002010304,KY,0.723934591,0.723934591,27446.25,111.07
Lotts Creek,51002010305,KY,1.131964737,1.131964737,18035.25,72.99
Big Creek,51002010306,KY,1.380298252,1.380298252,12487.41,50.53
Upper Second Creek-North Fork Kentucky River,51002010307,KY,6.718359148,6.718359148,21147.66,85.58
Big Willard Creek-North Fork Kentucky River,51002010401,KY,2.950037749,2.950037749,15034.94,60.84
Colwell Fork-North Fork Kentucky River,51002010402,KY,1.129565168,1.129565168,11844.6,47.93
Grapevine Creek-North Fork Kentucky River,51002010403,KY,1.803191409,1.803191409,14757.74,59.72
Caney Creek-North Fork Kentucky River,51002010404,KY,0.551419113,0.551419113,12312.15,49.83
Howards Creek-North Fork Kentucky River,51002010405,KY,0.436168319,0.436168319,14996.47,60.69
Right Fork Troublesome Creek,51002010501,KY,1.213500831,1.213500831,15121.44,61.19
Big Branch-Troublesome Creek,51002010502,KY,1.320403437,1.320403437,14881.5,60.22
Clear Creek-Troublesome Creek,51002010503,KY,1.66899485,1.66899485,15637.78,63.28
Upper Balls Fork,51002010504,KY,1.322180992,1.322180992,14684.45,59.43
Lower Balls Fork,51002010505,KY,1.396173725,1.396173725,14432.62,58.41
Buckhorn Creek,51002010506,KY,0.12697914,0.12697914,29058.18,117.59
Lost Creek,51002010507,KY,1.217404512,1.217404512,27125.55,109.77
Russell Branch-Troublesome Creek,51002010508,KY,0.588872208,0.588872208,26542.32,107.41
Upper Laurel Fork Quicksand Creek,51002010601,KY,0.408104686,0.408104686,13171.15,53.3
Lower Laurel Fork Quicksand Creek-Quicksand Creek,51002010602,KY,0.269951159,0.269951159,23452.51,94.91
Spring Fork Quicksand Creek,51002010603,KY,0.445362646,0.445362646,22691.87,91.83
Big Caney Creek-Quicksand Creek,51002010604,KY,0.454872531,0.454872531,30232.96,122.35
South Fork Quicksand Creek,51002010605,KY,0.408364678,0.408364678,25794.68,104.39
Meatscaffold Branch-Quicksand Creek,51002010606,KY,0.778389217,0.778389217,14747.74,59.68
Cane Creek-North Fork Kentucky River,51002010701,KY,2.257614425,2.257614425,29512.47,119.43
Frozen Creek,51002010702,KY,0.613780673,0.613780673,35170.25,142.33
Holly Creek,51002010703,KY,0.829496181,0.829496181,12259.14,49.61
War Creek-North Fork Kentucky River,51002010704,KY,0.537504609,0.537504609,25578.05,103.51
Upper Devil Creek,51002010705,KY,0.763885824,0.763885824,11095.32,44.9
Walker Creek-North Fork Kentucky River,51002010706,KY,0.825987568,0.825987568,27847.01,112.69
Hell Creek-North Fork Kentucky River,51002010707,KY,1.844210883,1.844210883,9292.02,37.6
Headwaters Cutshin Creek,51002020101,KY,0.3072686,0.3072686,11952.28,48.37
Polls Creek-Cutshin Creek,51002020102,KY,0.458259409,0.458259409,14166.52,57.33
Raccoon Creek,51002020103,KY,0.437252008,0.437252008,11604.87,46.96
